name,continent,iso_a3,currency_code,local_price,USD_ex,GDP_USD
United Arab Emirates,Asia,ARE,AED,14.75,3.67315,39179.883
Argentina,Americas,ARG,ARS,320,85.3736,9890.314
Austria,Europe,AUT,EUR,3.88,0.823011398707872,50380.282
Azerbaijan,Asia,AZE,AZN,3.95,1.699,4813.67
Belgium,Europe,BEL,EUR,4.35,0.823011398707872,46236.67
Bahrain,Asia,BHR,BHD,1.5,0.377,25997.583
Brazil,Americas,BRA,BRL,21.9,5.5046,8751.381
Canada,Americas,CAN,CAD,6.77,1.2803,46271.717
Chile,Americas,CHL,CLP,2940,719.425,14772.111
China,Asia,CHN,CNY,22.4,6.4751,10286.58
Colombia,Americas,COL,COP,12950,3460.5,6423.179
Costa Rica,Americas,CRI,CRC,2350,613.77,12243.842
Czech Republic,Europe,CZE,CZK,89,21.5909,23538.518
Germany,Europe,DEU,EUR,4.46,0.823011398707872,46472.623
Denmark,Europe,DNK,DKK,30,6.12065,59770.324
Egypt,Africa,EGY,EGP,42.5,15.64,3043.64
Spain,Europe,ESP,EUR,4.33,0.823011398707872,29993.061
Estonia,Europe,EST,EUR,3.2,0.823011398707872,23757.617
Finland,Europe,FIN,EUR,4.87,0.823011398707872,48809.551
France,Europe,FRA,EUR,4.2,0.823011398707872,41896.577
Britain,Europe,GBR,GBP,3.29,0.741372280090447,42378.606
Greece,Europe,GRC,EUR,3.3,0.823011398707872,19569.531
Guatemala,Americas,GTM,GTQ,25,7.8009,4354.336
Hong Kong,Asia,HKG,HKD,20.5,7.75535,48626.576
Honduras,Americas,HND,HNL,87,24.103,2550.666
Croatia,Europe,HRV,HRK,23,6.23875,14853.016
Hungary,Europe,HUN,HUF,900,297.42395,16469.607
Indonesia,Asia,IDN,IDR,34000,14125,4196.67
India,Asia,IND,INR,190,73.39,2097.782
Ireland,Europe,IRL,EUR,4.4,0.823011398707872,80504.404
Israel,Asia,ISR,ILS,17,3.179,43603.013
Italy,Europe,ITA,EUR,4.3,0.823011398707872,33159.068
Jordan,Asia,JOR,JOD,2.3,0.709,4425.687
Japan,Asia,JPN,JPY,390,104.295,40255.936
South Korea,Asia,KOR,KRW,4500,1097.35,31846.217
Kuwait,Asia,KWT,KWD,1.15,0.3037,28499.788
Lebanon,Africa,LBN,LBP,15500,8750,7661.073
Sri Lanka,Asia,LKA,LKR,700,189,3852.484
Lithuania,Europe,LTU,EUR,2.9,0.823011398707872,19482.142
Latvia,Europe,LVA,EUR,2.85,0.823011398707872,17771.634
Moldova,Europe,MDA,MDL,50,17.225,4458.192
Mexico,Americas,MEX,MXN,54,20.11475,9862.44
Malaysia,Asia,MYS,MYR,9.99,4.052,11193.016
Nicaragua,Americas,NIC,NIO,124,34.8453,1920.291
Netherlands,Europe,NLD,EUR,4.13,0.823011398707872,52646.193
Norway,Europe,NOR,NOK,52,8.5439,75294.428
Oman,Asia,OMN,OMR,1.1,0.385,18198.309
Pakistan,Asia,PAK,PKR,550,160.35,1348.676
Peru,Americas,PER,PEN,11.9,3.6207,6957.864
Philippines,Asia,PHL,PHP,142,48.0925,3511.935
Poland,Europe,POL,PLN,13.08,3.7226,15600.657
Portugal,Europe,PRT,EUR,3.45,0.823011398707872,23132.455
Qatar,Asia,QAT,QAR,13,3.641,62918.848
Romania,Europe,ROU,RON,9.9,4.0089,12887.06
Russia,Europe,RUS,RUB,135,74.63,11601.418
Saudi Arabia,Asia,SAU,SAR,14,3.7518,23266.486
Singapore,Asia,SGP,SGD,5.9,1.3308,65233.88
Slovakia,Europe,SVK,EUR,3.7,0.823011398707872,19344.174
Slovenia,Europe,SVN,EUR,2.5,0.823011398707872,25992.066
Sweden,Europe,SWE,SEK,52.88,8.29525,51404.434
Thailand,Asia,THA,THB,128,30.13,7806.961
Turkey,Asia,TUR,TRY,14.99,7.4705,9150.862
Taiwan,Asia,TWN,TWD,72,27.98,25873.367
Ukraine,Europe,UKR,UAH,62,28.14,3706.765
Uruguay,Americas,URY,UYU,204,42.495,16110.742
United States,Americas,USA,USD,5.66,1,65253.518
Vietnam,Asia,VNM,VND,66000,23064,3416.232
South Africa,Africa,ZAF,ZAR,33.5,15.5225,5977.954